item_id,capture_state,import_batch,source_file,source_sheet,source_row_id,composer,composer_source,conductor,conductor_source,musicians,musicians_source,title,title_source,label_raw,label_raw_source,catno_raw,catno_raw_source,year_recorded,year_recorded_source,year_released,year_released_source,format,format_source,track_listing,track_listing_source,discogs_id,discogs_id_source,ai_rating,ai_rating_source,ai_rating_confidence,ai_rating_confidence_source,ai_track_listing,ai_track_listing_source,ai_track_listing_confidence,ai_track_listing_confidence_source,ai_remarks,ai_remarks_source,ai_critical_notes,ai_critical_notes_source,ai_sources,ai_sources_source,qualifier_raw,combined_raw,split_outcome,split_reason,discogs_url,discogs_found,discogs_confidence_legacy,discogs_score_legacy,confirmed,decision_eligible
DG-0013,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,13,Charles Gounod; Jacques Offenbach,legacy,Herbert von Karajan,legacy,Manuel Rosenthal (Arranged By); Henri de Toulouse-Lautrec (Cover); Günter Hermanns (Engineer [Recording]); Berliner Philharmoniker (Orchestra); Giraudon Paris (Photography By [Cover]); Hans Hirsch (Production Manager); Hans Weber (Recording Supervisor); Jacques Offenbach; Charles Gounod; Berliner Philharmoniker; Herbert von Karajan,discogs,Gaîté Parisienne (Excerpts) / Ballet Music And Waltz From Faust,legacy,Deutsche Grammophon,discogs,2530 199,legacy,,,1972,legacy,Stereo,legacy,"Gaîté Parisienne (Excerpts)
A1 Ouvertüre – 2:15
A2 1. Allegro Brillante – 0:23
A3 2. Polka – 1:44
A4 6. Allegro – 1:12
A5 8. Valse: Lento – 3:17
A6 9. Ohne Bezeichnung (Marsch) – 0:53
A7 10. Valse: Moderato – 2:06
A8 11. Allegro Vivo – 0:12
A9 12. Valse – 2:06
A10 13. Allegro Vivace - Misterioso - Lento – 2:10
A11 14. Valse: Moderato – 3:12
A12 15. Allegro Vivo – 0:26
A13 16. Cancan: Allegro – 2:10
A14 17. Polka – 1:23
A15 18. Ohne Bezeichnung – 0:46
A16 22. Vivo – 1:09
A17 23. Barcarole: Allegro Moderato – 3:55
Margarete (Faust) - Ballettmusik
B8 Faust-Walzer – 5:24",discogs,28998988,discogs,,,,,,,,,,,,,,,,Deutsche Grammophon 2530 199,split,already-separate-in-source,https://www.discogs.com/release/28998988,yes,Exact,130,no,no
DG-0014,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,14,Georges Bizet,legacy,Charles Munch,legacy,New Philharmonia Orchestra (Orchestra); Georges Bizet; New Philharmonia Orchestra; Charles Munch,discogs,Carmen & L'Arlésienne Suites,legacy,Decca,discogs,PFS 4127,legacy,1966,legacy,1971,legacy,Stereo,legacy,"Carmen Suite
L'Arlésienne Suite",discogs,13688756,discogs,,,,,,,,,,,,,,,,Decca PFS 4127,split,already-separate-in-source,https://www.discogs.com/release/13688756,yes,Exact,130,no,no
DG-0015,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,15,Johann Strauss Jr.,legacy,Herbert Von Karajan,legacy,Philharmonia Chorus (Choir); Philharmonia Orchestra (Orchestra); Elisabeth Schwarzkopf (Vocals); Erich Kunz (Vocals); Helmut Krebs (Vocals); Karl Dönch (Vocals); Nicolai Gedda (Vocals); Rita Streich (Vocals); Rudolf Christ (Vocals); Philharmonia Orchestra; Philharmonia Chorus; Herbert Von Karajan,discogs,Die Fledermaus,legacy,Eco (2),discogs,K 104,legacy,1955,legacy,1955,legacy,Mono,legacy,"A1 Täubchen, Das Entflattert Ist
A2 Da Schreibt Meine Schwester Ida
A3 Wir Sind Heut' Auf Einer Villa
A4 Wenn Ich Jenes Täubchen Wär
A5 So Muß Allein Ich Bleiben
A6 O Je, Wie Rührt Mich Dies
A7 Trinke, Liebchen, Trinke Schnell
A8 Glücklich Ist, Wer Vergißt
A9 Mein Herr, Was Dächten Sie Von Mir
A10 Mein Schönes Großes Vogelhaus
B1 Ein Souper Heut' Und Winkt
B2 Komm Mit Mir Zum Souper
B3 Ach, Meine Herren Und Damen
B4 Mein Herr Marquis
B5 Dieser Anstand, So Manierlich
B6 Ach Wie Wird Mein Auge Trübe
B7 Im Feuerstrom Der Reben
B8 Brüderlein, Brüderlein Und Schwesterlein
B9 Ha, Welch Ein Fest, Welche Nacht Voller Freud!",discogs,3585474,discogs,,,,,,,,,,,,,,,,Eco (2) K 104,split,already-separate-in-source,https://www.discogs.com/release/3585474,yes,Fallback,8,no,no
DG-0016,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,16,Giacomo Puccini,legacy,Sir Thomas Beecham,legacy,"Thomas Powell (Baritone Vocals [Custom House Official]); Robert Merrill (Baritone Vocals [Marcel]); John Reardon (2) (Baritone Vocals [Schaunard]); George Del Monte (Baritone Vocals [Sergeant]); Fernando Corena (Bass Vocals [Benoit, Alcindoro]); Giorgio Tozzi (Bass Vocals [Colline]); RCA Victor Chorus (Chorus); The Columbus Boychoir (Chorus); RCA Victor Symphony Orchestra (Orchestra); Stephen Williams (6) (Sleeve Notes); Victoria De Los Angeles (Soprano Vocals [Mimi]); Lucine Amara (Soprano Vocals [Musetta]); William Nahr (Tenor Vocals [Parpignol]); Jussi Björling (Tenor Vocals [Rudolph]); Giacomo Puccini; Victoria De Los Angeles; Jussi Björling; Sir Thomas Beecham",discogs,La Bohème,legacy,His Master's Voice,discogs,ALP 1409,legacy,,,1963,legacy,Mono,legacy,La Bohème,discogs,11463781,discogs,,,,,,,,,,,,,,,,His Master's Voice ALP 1409,split,already-separate-in-source,https://www.discogs.com/release/11463781,yes,Exact,138,no,no
DG-0017,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,17,Gilbert & Sullivan,legacy,Alan Cohen (5),legacy,"Dave Markee (Bass); Peter Ind (Bass); Alan Jackson (Drums); Jock Cummings (Drums, Percussion); Iain Churches (Engineer); George Elliott (2) (Guitar, Banjo); Brian Priestley (Piano); Pat Dodd (Piano); Kevin Daly (Producer); Al Baum (Reeds); Alan Skidmore (Reeds); Art Themen (Reeds); Dave Gelly (Reeds); Derek Guttridge (Reeds); Graham Lyons (Reeds); Harry Gold (Reeds); Harry Smith (12) (Reeds); John Warren (Reeds); John Williams (9) (Reeds); Ken Poole (Reeds); Olaf Vas (Reeds); John R. T. Davies (Reeds, Vocals); Paul Nossiter (Reeds, Vocals); Chris Pyne (Trombone); Geoff Perkins (Trombone); Harry Roche (Trombone); Malcolm Griffiths (Trombone); Michael Gibbs (Trombone); Nat Peck (Trombone); Ric Kennedy (Trombone); Robin Gardner (Trombone); Keith Nichols (Trombone, Vocals); Dave Hancock (Trumpet); Duncan Campbell (Trumpet); Freddy Staff (Trumpet); George Chisholm (Trumpet); Greg Bowen (Trumpet); Harry Beckett (Trumpet); Kenny Wheeler (Trumpet); Les Condon (Trumpet); Richard M. Sudhalter (Trumpet); Tommy McQuater (Trumpet); Henry Lowther (Trumpet, Violin); Martin Fry (2) (Tuba); Bill Reid (Violin); George Hurley (2) (Violin); John Kirkland (Violin); Kelly Isaacs (Violin); Louis Harris (Violin); Reg Leopold (Violin); Norma Winstone (Vocal Percussion); Chris Ellis (Vocals); The New Paul Whiteman Orchestra; Alan Cohen Band",discogs,"Runnin' Wild / Black, Brown & Beige",legacy,Vocalion,discogs,CDLK 4252,legacy,,,2005,legacy,Mono,legacy,"The New Paul Whiteman Orchestra: Runnin' Wild
01-01 Runnin' Wild – 3:33
01-02 Reachin' For Someone – 3:16
01-03 China Boy – 2:44
01-04 You Took Advantage Of Me – 3:02
01-05 I've Found A New Baby – 2:33
01-06 Singin' The Blues – 5:09
01-07 Back In Your Own Back Yard – 2:53
01-08 'Tain't So, Honey, 'Tain't So – 2:58
01-09 When? – 2:55
01-10 There Ain't No Sweet Man – 3:29
01-11 Lousiana – 3:20
01-12 Nobody's Sweetheart – 2:38
Alan Cohen Band: Black, Brown & Beige
Black
02-01 Work Song – 12:11
02-02 Come Sunday -- Light – 8:57
Brown
02-03 West Indian Dance – 1:59
02-04 Emancipation Celebration – 3:10
02-05 The Blues – 5:31
Beige
02-06 In One Movement – 13:38",discogs,13790177,discogs,,,,,,,,,,,,,,,,Vocalion CDLK 4252,split,already-separate-in-source,https://www.discogs.com/release/13790177,yes,Label+Cat,50,no,no
DG-0018,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,18,Georg Friedrich Händel,legacy,Sir Colin Davis,legacy,John Shirley-Quirk (Bass Vocals); Helen Watts (Contralto Vocals); London Symphony Orchestra (Orchestra); Heather Harper (Soprano Vocals); John Wakefield (Tenor Vocals); Georg Friedrich Händel; Heather Harper; Helen Watts; John Wakefield; John Shirley-Quirk; London Symphony Orchestra; London Symphony Chorus; Sir Colin Davis,discogs,Messiah Ausschnitte,legacy,Philips,discogs,6527 118,legacy,,,1981,legacy,Stereo,legacy,"A1 Comfort Ye, My People
A2 And The Glory Of The Lord
A3 Behold, A Virgin Shall Conceive
A4 For Unto Aus A Child Born
A5 Then Shall The Eyes
A6 Why Do The Nations
B1 Thou Shalt Break Them
B2 Hallelujah
B3 I Know That My Redeemer Liveth
B4 The Trumpet Shall Sound
B5 Worthy Is The Lamb - Amen",discogs,3505720,discogs,,,,,,,,,,,,,,,,Philips 6527 118,split,already-separate-in-source,https://www.discogs.com/release/3505720,yes,Exact,138,no,no
DG-0019,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,19,Various,legacy,Nello Santi,legacy,Kenneth Wilkinson (Engineer [Uncredited]); Gordon Stewart (Liner Notes); Harold Rosenthal (Liner Notes [Portrait Of Joan Sutherland]); A (26) (Mastered By); Orchestre De La Société Des Concerts Du Conservatoire (Orchestra); Ray Minshull (Producer [Uncredited]); Joan Sutherland (Soprano Vocals); Joan Sutherland,discogs,Operatic Arias,legacy,Decca,discogs,LXT 5531,legacy,1959,legacy,1959,legacy,Mono,legacy,"A1 Ancor Non Giunse! .... Regnava Nel Silenzio From Lucia Di Lammermoor
A2 Surta È La Notte ..... Ernani! Involami From Act I Of Ernani
A3 Bolero: Mercè, Diletti Amiche From Act V Of I Vespri Siciliani
B1 Ah! Tardai Troppo ... O Luce Di Quest'Anima From Act I Of Linda Di Chamounix
B2 Il Dolce Suono Mi Corpi Di Sua Voce! ... Ardon Gl'Incensi (Mad Scene) From Act II Of Lucia Di Lammermoor",discogs,10452226,discogs,,,,,,,,,,,,,,,,Decca LXT 5531,split,already-separate-in-source,https://www.discogs.com/release/10452226,yes,Exact,130,no,no
DG-0020,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,20,Kurt Weill,legacy,Unknown,legacy,"Heiner Goebbels (Accordion); Jürgen Tamchina (Administrator); Jürgen Schröder (Banjo, Guitar); Wolfgang Florey (Cello); Holger Voss (Clarinet, Alto Saxophone, Piccolo Flute); Horst Lubitz (Clarinet, Alto Saxophone, Tenor Saxophone); Hans-Peter Cloos (Directed By); Peter Wulfert (Drums); Rainer Hecht (Engineer); Mark Hastings (Piano, Electric Piano, Organ); Chris Evans (23) (Synthesizer); Dieter Reuland (Trombone); Larry Elam (Trumpet); Martin Wollweber (Trumpet); Dörte Denecke (Violin); Hans-Georg Denecke (Violin); Esther Hausmann (Vocals); Hans-Peter Cloos (Vocals); Katja Rupe (Vocals); Martin Sperr (Vocals); Pola Kinski (Vocals); Skarabäus Theater Company",discogs,Die Dreigroschenoper,legacy,Neue Welt (2),discogs,NWKE 3002,legacy,,,1979,legacy,Stereo,legacy,"A1 Ouvertüre – 2:12
A2 Moritat Vom Mackie Messer – 3:25
A3 Morgenchoral Des Peachum – 1:26
A4 Anstatt-Daß-Song – 1:46
A5 Seeräuber Jenny – 4:26
A6 Kanonensong – 2:10
A7 Liebeslied – 2:19
A8 Barbara-Song – 4:57
A9 Erstes Dreigroschen-Finale – 3:07
B1 Melodram Und Pollys Lied – 1:40
B2 Ballade Von Der Sexuellen Hörigkeit – 2:28
B3 Zuhälterballade – 5:05
B4 Ballade Vom Angenehmen Leben – 1:40
B5 Eifersuchtsduett – 2:22
B6 Zweites Dreigroschen-Finale – 2:16
B7 Reminiszenz (Ballade von Der Sexuellen Hörigkeit) – 1:33
B8 Lied von Der Unzulänglichkeit Menschlichen Strebens – 1:41
B9 Salomon Song – 3:24
B10 Grabinschrift – 3:35
B11 Drittes Dreigroschen-Finale: Schlußchoral – 1:37",discogs,7648296,discogs,,,,,,,,,,,,,,,,Neue Welt (2) NWKE 3002,split,already-separate-in-source,https://www.discogs.com/release/7648296,yes,Exact,130,no,no
DG-0021,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,21,Various,legacy,Zubin Mehta,legacy,Alex Smith (12) (Design); Nigel Gayler (Edited By [Tape Editor]); James Lock (2) (Engineer [Recording Engineer]); John Pellowe (Engineer [Recording Engineer]); Philip Siney (Engineer [Recording Engineer]); Orchestra Del Maggio Musicale Fiorentino (Orchestra); Orchestra Del Teatro Dell'Opera Di Roma (Orchestra); Carlos Picasso (Photography By); Gianni Di Ludovico (Photography By); Roberto Guberti (Photography By); Vivianne Purdom (Photography By); Christopher Raeburn (Producer [Recording Producer]); José Carreras (Tenor Vocals); Luciano Pavarotti (Tenor Vocals); Placido Domingo (Tenor Vocals); José Carreras; Placido Domingo; Luciano Pavarotti; Zubin Mehta,discogs,In Concert,legacy,Decca,discogs,430 433-1,legacy,1990,legacy,1990,legacy,Stereo,legacy,"A1 Il Lamento Di Federico (È La Solita Storia) – 4:10
A2 Ô Paradis – 2:59
A3 Recondita Armonia – 2:23
A4 Dein Ist Mein Ganzes Herz – 3:23
A5 Rondine Al Nido – 3:22
A6 Core 'Ngrato – 3:14
A7 Torna A Surriento – 2:41
A8 Granada – 3:29
A9 No Puede Ser – 2:29
A10 L'Improvviso (Andrea Chénier) – 4:57
B1 E Lucevan Le Stelle – 2:24
B2 Nessun Dorma – 2:49
Finale Medley – 20:11
B4 Encore: 'O Sole Mio – 2:26
B5 Encore: Nessun Dorma – 3:00",discogs,3344774,discogs,,,,,,,,,,,,,,,,Decca 430 433-1,split,already-separate-in-source,https://www.discogs.com/release/3344774,yes,Exact,120,no,no
DG-0022,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,22,Georges Bizet; Charles Gounod,legacy,Various,legacy,Stefano Coletti (Design [Cover Art]); Various,discogs,Onda Elettronica Vol.6,legacy,Atlantis (6),discogs,ATL 405-2,legacy,,,2008,legacy,Mono,legacy,"1-1 Let Go (Samuele Sartini Rmx) – 6:27
1-2 No Stress (Anton Wick Remix) – 6:43
1-3 Leave Me Alone (Original M.G. Club) – 6:58
1-4 The End (Arno Cost Remix) – 6:43
1-5 Wonderland (Original Mix) – 6:08
1-6 Sound Of Ibiza (Chriss Ortega Disco Edit Mix) – 6:19
1-7 Tunnel (Original Club Mix) – 7:38
1-8 Electronic Bitch (Kando Vs. Matteo Sala Main Mix) – 6:55
1-9 Bus Stop (Original Mix) – 6:57
1-10 Supadisco (Supa Mix) – 6:03
1-11 Signals (Original Mix) – 6:16
1-12 Resonance – 5:10
2-1 The Girl You Lost (Sander Van Doorn Remix) – 6:03
2-2 After The Rain (Mora Camurri Vs Elektrojack Rmx) – 6:50
2-3 Orfeu (Noferini Elvissa Mix) – 6:07
2-4 Ultra Beat (Original Mix) – 7:08
2-5 High Tension (Original MG Mix) – 6:32
2-6 Behind (Callea Club Mix) – 6:58
2-7 Happy (Fedakki Vs Elektrojack) – 6:31
2-8 Violet (Eivissa Mix) – 8:09
2-9 El Diablo (Original Da Silva Vrs) – 5:41
2-10 Mass Destruction (Alberto Fracasso Rmx) – 6:38
2-11 Ivory (Africa Goes To Europe Mix) – 6:16
2-12 Dirty Confusion – 5:36",discogs,10162503,discogs,,,,,,,,,,,,,,,,Atlantis (6) ATL 405-2,split,already-separate-in-source,https://www.discogs.com/release/10162503,yes,Exact,128,no,no
DG-0023,enriched,M0-IMPORT-ENRICHED,Vinyl Records Record 2 Jen.xlsx,Classical Master,23,Igor Stravinsky; Claude Debussy,legacy,René Leibowitz,legacy,London Festival Orchestra (Orchestra); Serge Chirol (Photography By); Pierre Hiégel (Sleeve Notes); Various,discogs,Du Printemps Au Cœur De L'Été,legacy,Sélection Du Reader's Digest,discogs,97 SM 12,legacy,,,1973,legacy,Stereo,legacy,"A Le Sacre Du Printemps (Début) – 25:00
B1 Le Sacre Du Printemps (Suite Et Fin) – 11:20
B2 Prélude A L'Après-Midi D'un Faune – 9:40",discogs,11736395,discogs,,,,,,,,,,,,,,,,Sélection Du Reader's Digest 97 SM 12,split,already-separate-in-source,https://www.discogs.com/release/11736395,yes,Exact,120,no,no
